,AR (-),slope (Â°),inout
0,1.4624894571298606,179.68364,in
1,3.7670946203625673,176.97267,in
2,2.268500658264202,41.073085999999996,in
3,2.3276734824001784,89.60811600000001,in
4,3.319849914877058,3.0502365,in
5,14.93833684666189,178.17111,in
6,2.1942684010294924,174.29838999999998,in
7,2.271208057138875,8.935818,in
8,6.145111077970151,1.2541938999999998,in
9,2.943477562218535,174.86858999999998,in
10,1.6935464166803085,50.592859999999995,in
11,1.5456084683079476,15.608191,in
12,1.0904476778686796,119.37713000000001,in
13,2.66733306677329,4.467377,in
14,2.253563186248186,83.7743,in
15,2.8557822210639703,165.10022,in
16,4.763669071377868,177.64244,in
17,2.4923779201364367,37.12222,in
18,1.2743731314862476,26.123188,in
19,2.947610812589623,97.60864000000001,in
20,2.248858952328095,152.00354,in
21,3.502087090515761,7.174116000000001,in
22,1.32215363287694,50.439254999999996,in
23,2.1885216249567065,173.07716000000002,in
24,1.9811803004709592,22.777855,in
25,1.1852885404699824,177.54483000000002,in
26,1.4650104502282781,125.169075,in
27,9.512361981356598,0.42251554,in
28,1.65048043240051,67.42008,in
29,2.0787390914431674,27.012976000000002,in
30,3.7881066429502175,35.460224,in
31,1.7625582554060066,80.90438,in
32,1.8731075714809808,28.938029999999998,in
33,2.376726429333975,4.715283,in
34,1.4309051890536288,153.69083999999998,in
35,1.52465529866618,0.0,out
36,2.233877860460575,173.2338409423828,out
37,2.30382233309804,169.71713256835938,out
38,1.669577612925397,177.30955505371094,out
39,4.877440337899561,164.1171112060547,out
40,3.860292529501961,151.33383178710938,out
41,1.389104789647428,134.04759216308594,out
42,2.983144051026947,147.10955810546875,out
43,1.927294529278711,167.802001953125,out
44,1.3166353497802317,82.22391510009766,out
45,1.7324292849533707,135.7332305908203,out
46,2.271174792948741,124.69015502929688,out
47,1.6679233003016454,160.29931640625,out
48,3.860292529501961,151.33383178710938,out
49,1.430105438700346,156.00267028808594,out
50,1.9065883498847325,175.47715759277344,out
51,3.134644069452421,2.5435523986816406,out
52,1.447009345340523,22.5,out
53,2.5007861787076178,174.6333465576172,out
54,1.576797361894262,167.8684844970703,out
55,1.4812083123065543,149.2534942626953,out
56,2.0506502979294927,16.272016525268555,out
57,1.6666256865936766,169.26455688476562,out
58,1.3062363793925658,18.2318115234375,out
59,1.1996754273632786,76.59272766113281,out
60,1.3831141714164925,144.75282287597656,out
61,2.7941554121776315,173.71630859375,out
62,2.3064080482967153,10.324516296386719,out
63,3.655738857383887,178.1946563720703,out
64,1.0640715094037865,28.214521408081055,out
65,2.374479437466298,46.27522277832031,out
66,1.4614894943180687,33.997066497802734,out
67,1.96965888392617,177.31521606445312,out
68,3.3717881485616257,159.93431091308594,out
69,1.4948561004779002,158.6435089111328,out
